operation,property_type,lat,lon,price
rent,apartment,-23.564088,-46.477392,700
rent,apartment,-23.55675,-46.489407,1850
rent,apartment,-23.563544,-46.479948,780
rent,apartment,-23.55686,-46.476183,900
rent,apartment,-23.564779,-46.476772,1000
rent,apartment,-23.564779,-46.476772,1000
rent,apartment,-23.564779,-46.476772,1100
rent,apartment,-23.564779,-46.476772,1500
rent,apartment,-23.6006,-46.39428,550
rent,apartment,-23.600594,-46.394294,600
rent,apartment,-23.60452,-46.399058000000004,700
rent,apartment,-23.588704,-46.40328,6000
rent,apartment,-23.590671,-46.396840999999995,800
rent,apartment,-23.609832,-46.405243,2000
rent,apartment,-23.610718,-46.408223,1200
rent,apartment,-23.590011999999998,-46.405122,3000
rent,apartment,-23.582514,-46.402498,750
rent,apartment,-23.598796,-46.419973999999996,850
rent,apartment,-23.600057,-46.420926,750
rent,apartment,-23.595545,-46.42033,600
rent,apartment,-23.600983,-46.422829,700
rent,apartment,-23.598557999999997,-46.424069,750
rent,apartment,-23.598124,-46.424234000000006,750
rent,apartment,-23.59477,-46.424304,700
rent,apartment,-23.582576,-46.417478,1100
rent,apartment,-23.582576,-46.417478,1300
rent,apartment,-23.582576,-46.417478,950
rent,apartment,-23.582576,-46.417478,950
rent,apartment,-23.580279,-46.418321,900
rent,apartment,-23.575460999999997,-46.411681,18000
rent,apartment,-23.573977,-46.412727000000004,16000
rent,apartment,-23.568058999999998,-46.397273999999996,870
rent,apartment,-23.566979999999997,-46.393903,650
rent,apartment,-23.566541,-46.401387,720
rent,apartment,-23.566205,-46.400635,700
rent,apartment,-23.569245000000002,-46.41746,700
rent,apartment,-23.5684,-46.419426,628
rent,apartment,-23.563591,-46.403328,700
rent,apartment,-23.495003,-46.475877000000004,850
rent,apartment,-23.483647,-46.490683000000004,1300
rent,apartment,-23.506507,-46.487313,900
rent,apartment,-23.483649,-46.490709,1200
rent,apartment,-23.501495000000002,-46.384906,1350
rent,apartment,-23.505470000000003,-46.470504999999996,800
